"city","VVD","PvdA","PVV","SP","CDA","D66","CU","GrLinks","SGP","PvdD","50+"
"Cranendonck","30.4","17.9","13.2","14.1","12","5.9","0.3","1.1","0.1","1.3","2.7"
"Cromstrijen","33.2","20.8","11","6.4","8","5.7","3.1","1.1","6.3","2.1","1.8"
"Cuijk","25","21.6","8.9","22.5","9.9","6.7","0.3","1.6","0","1.2","1.6"
"Culemborg","27.6","26.6","10.7","8.1","6.3","8.6","2.1","4","1","2.1","1.9"
"Dalfsen","26.5","19.4","5.7","7.1","19.7","5.4","9.7","1.3","2.4","0.9","1.3"
"Dantumadiel","12.1","27.8","8.7","9.8","19.3","2.5","10.6","0.8","6","1","0.8"
"De Bilt","32.9","20.3","6.4","6.4","7.4","11.9","3.1","3.6","3.1","2.2","1.8"
"De Marne","17.4","30.7","7.4","11.9","11.9","4.5","7.5","3","1","2.5","1.4"
"De Ronde Venen","44.9","14.8","8.2","4.3","9.1","8.3","2.9","1.8","1.5","1.5","1.9"
"De Wolden","34.4","23.3","7","6","13.3","6.5","3.3","1.8","0.8","1.6","1.1"
"Delft","21.9","26.7","9.3","8.3","5.5","15.3","2.6","4.4","0.6","2.4","1.8"
"Delfzijl","17.6","36.9","10.1","11.9","8.7","3.6","5.1","1.1","0.5","1.8","1.8"
"Den Haag","25.4","29.2","12.4","7.6","4.4","10.4","1.5","2.8","0.5","2.9","1.7"
"Den Helder","30.5","21.7","14.3","9.1","6.6","5.3","3.4","1.3","0.8","2.4","3.4"
"Deurne","32.2","17.6","10.7","15.2","12.9","6","0.3","1.1","0.1","1","2.1"
"Deventer","21.3","34.2","7.6","10.1","7","9.6","2.3","3.3","0.3","1.9","1.6"
"Diemen","25.8","30.5","9.9","9.4","3.8","9.4","1.2","3.5","0.1","2.7","2.5"
"Dinkelland","32.3","15.8","8","7.4","26.1","5.5","0.6","0.8","0.2","0.8","1.7"
"Dirksland","23","14.8","11.3","6.4","8.5","2.3","7","0.7","22.6","1.1","1.5"
"Doesburg","20.5","31.2","9.7","15.5","7.3","7.6","1.7","2","0.3","1.9","1.4"
"Doetinchem","23.7","31.4","9","11.3","8.6","7.5","1.9","2","1","1.6","1.3"
"Dongen","29.6","23.5","10.5","12.8","9.4","7.4","1.1","1.2","0.3","1.5","2.1"
"Dongeradeel","15.2","26","7.3","10.2","22.9","4.2","8.5","1.2","1.5","1.3","1"
"Dordrecht","22.8","26.5","12.6","9.7","6.2","6.7","4.5","2.3","3.2","2.5","2.2"
"Drechterland","38.8","18.6","8.7","7.3","10.2","6.8","0.7","1.9","0.1","1.8","3.9"
"Drimmelen","32.3","20.3","12","11.8","8.9","7.2","0.6","1.5","0.2","1.6","2.8"
"Dronten","36.1","17","9.7","6.8","11","5.9","6.4","1.6","1.3","1.4","1.9"
"Druten","30.2","24.8","10.4","13.9","8.2","7","0.4","1.2","0.1","1.4","1.9"
"Duiven","30.1","25.9","9.6","11","8.6","7.4","1.4","1.8","0.2","1.3","2.1"
"Echt-Susteren","20.5","18.8","22","13.3","13.2","5.1","0.5","1.5","0.1","1.9","2"
"Edam-Volendam","43.3","11.2","16.8","4.1","14.1","4","0.5","1.3","0.2","1.3","2.3"
"Ede","27.2","15.5","7.5","5.2","11","6.2","9.6","1.9","12.4","1.4","1.5"
"Eemnes","39.7","18.6","8.6","6.5","8.5","8.3","2.5","1.5","1","2.3","1.8"
"Eemsmond","16","33.3","6.2","12.4","11.6","3.6","9.4","2","1.4","1.9","1.4"
"Eersel","32.5","17","8.4","12.3","15.2","7.9","0.4","1.6","0.1","1.3","2.5"
"Eijsden-Margraten","26.2","22.6","12.9","10.5","13.1","7.7","0.4","2.3","0.1","1.6","2"
"Eindhoven","22.4","26.1","9.8","14.3","5.9","10.7","1.2","2.9","0.2","1.9","3.1"
"Elburg","22.9","11.6","7","6","13.5","3","16.5","0.9","16.1","0.9","1.2"
"Emmen","17.7","37.7","11.3","11","9.6","4.3","2.8","1.2","0.4","1.3","1.6"
"Enkhuizen","27.1","26.8","10.3","9.9","6.5","7.2","2.2","2","1.4","2.5","3.1"
"Enschede","19.5","31.1","10.4","11.7","7.9","8.7","3.7","2.2","0.4","1.8","1.6"
"Epe","28.4","25.1","9.1","6.8","10.8","5.9","4.9","1.3","4","1.5","1.6"
"Ermelo","28","14.3","6.8","5.8","15.3","5.4","11.7","1.7","7.1","1.6","1.6"
"Etten-Leur","30.5","23.2","12.4","12","8","6.6","0.7","1.5","0.2","1.5","2.4"
"Ferwerderadiel","16.4","27.2","7.6","10.1","22.7","3.7","6.6","1.3","0.6","1.3","1.4"
"Franekeradeel","20.5","31.3","7.3","9.8","16.3","4.7","4","1.8","0.5","1.6","1.2"
"Gaasterlan-Sleat","25.2","22.7","6.3","8.1","21.4","4.9","3","2","2.6","1.6","1.1"
"Geertruidenberg","29.8","21.9","13.9","12.7","8","5.5","0.7","1.3","0.3","1.5","2.8"
"Geldermalsen","34.6","18","10.8","5.1","8","6.1","2.2","1.6","9.7","1.3","1.9"
"Geldrop-Mierlo","25.7","21.8","11.7","15.5","9","7.9","0.8","2.1","0.1","1.7","2.7"
"Gemert-Bakel","28.8","17.1","11.4","17.7","13.5","5.7","0.3","1.2","0.1","1.3","2.3"
"Gennep","25.1","19.5","9.8","24.7","9.3","6.1","0.4","1.4","0.1","1.4","1.6"
"Giessenlanden","31.6","18","7.4","5.2","12.3","4.6","10.2","1.2","6.4","1.3","1.2"
